"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Amel_gene_ID"
258.711900338434,-1.85886021065226,0.320833869801684,-5.79384031929444,6.8794871345214e-09,2.2058115285741e-07,"GB40007"
425.316130169252,-2.53807881929734,0.260223028360129,-9.75347506825887,1.78259489372647e-22,2.10068390463298e-20,"GB40008"
935.586873555873,-2.66246494884673,0.283673283444987,-9.38567395742454,6.25153379646719e-21,6.23367227133443e-19,"GB40009"
3198.9325198596,-2.45438102943615,0.263943210053105,-9.29889815669946,1.41908609526187e-20,1.38410928696742e-18,"GB40010"
6135.47300074239,-2.18431072937111,0.174239523172208,-12.5362529098077,4.7282915762805e-36,9.75102676435665e-34,"GB40021"
240.439534358788,-0.85475086593238,0.216929947244802,-3.94021607799409,8.14082491997468e-05,0.00116882666651662,"GB40061"
257.523539439243,-0.750311375428779,0.214556215267466,-3.49703864086826,0.000470453682897082,0.00559488429699622,"GB40083"
798.15041022158,-0.651206070122524,0.152035238156242,-4.28325747385812,1.84176834918882e-05,0.000320157203075467,"GB40134"
4947.80761587965,-5.01528699222442,0.174581092799782,-28.7275495404087,1.72805160108664e-181,3.13606804565204e-178,"GB40136"
27.1122679954796,-5.97890656981896,1.20745608813088,-4.95165549173237,7.35847889609688e-07,1.69469130718739e-05,"GB40137"
629.364685403715,-0.553716859284267,0.17381102912789,-3.18574064064049,0.00144383971408668,0.01467122235792,"GB40140"
216.200280869814,-1.20168983681918,0.240719808205213,-4.99206876982362,5.97359767408439e-07,1.40425972265911e-05,"GB40141"
217.325295501076,-0.900577451006907,0.226739603149487,-3.97185775443545,7.13143009485406e-05,0.00105391851271508,"GB40155"
1002.38330504071,-1.17887002816155,0.219396160670791,-5.37324821253582,7.7330762006667e-08,2.09462487895074e-06,"GB40157"
7.37124152853493,-5.07999041555303,1.81443808947518,-2.79975957571658,0.00511406807577792,0.0415072036848022,"GB40227"
1076.84274362995,-1.06970580041345,0.14198615144013,-7.53387418113453,4.9256590514827e-14,2.74205093454933e-12,"GB40240"
398.842000025785,-0.965052136077335,0.180621836108384,-5.34294278515829,9.14496351271861e-08,2.45507097379907e-06,"GB40278"
4184.96756314671,-1.20787433786209,0.148467299710142,-8.13562542203076,4.0981710866741e-16,2.73432385591771e-14,"GB40280"
1426.39622657666,-3.03721032292064,0.216871763544964,-14.0046369950366,1.46023928976939e-44,3.68061425426874e-42,"GB40284"
190.073258506504,-1.25720952675939,0.245232975739577,-5.12659246974384,2.9503318288448e-07,7.29463515393398e-06,"GB40287"
39.3903273680193,-2.26085651700587,0.502724159069776,-4.49721079883904,6.88507178484051e-06,0.000130701132585027,"GB40288"
174.581157949143,-0.914004923967518,0.243909963070164,-3.74730458921267,0.000178744987287438,0.00238169165146286,"GB40289"
1265.28875378674,-0.423240110661594,0.151255934633256,-2.79817193082576,0.00513927482330128,0.041674512731578,"GB40302"
32.4012979904114,-1.64765126087981,0.541202632456277,-3.04442580665554,0.00233124924048967,0.0218297620633208,"GB40304"
62.7995153281641,-1.81342235617477,0.433209895554303,-4.18601323465719,2.83896802283066e-05,0.000472675153012209,"GB40306"
224.952607334226,-1.09121647205836,0.291536685597464,-3.74298167594951,0.00018184949472871,0.0024124302853338,"GB40335"
214.210743227427,-1.37277900491758,0.272743184742781,-5.03322935901118,4.8228552376772e-07,1.15164706386008e-05,"GB40336"
509.816563366048,-0.79720456605218,0.190058902802541,-4.19451314459299,2.7345829456369e-05,0.000456132456777743,"GB40343"
3111.83848373223,-0.682236906870774,0.170540665896981,-4.00043534064125,6.32260615932513e-05,0.000948744526672329,"GB40389"
150.029991277281,-1.43668625528924,0.27041774181695,-5.31284022134079,1.07929665684181e-07,2.86360756262649e-06,"GB40392"
4033.71691521872,-0.903136802032508,0.195223640143381,-4.6261651579143,3.72498301462854e-06,7.49456671280251e-05,"GB40424"
255.846429259547,-1.56453953153904,0.212893295202092,-7.3489375513394,1.99788495990981e-13,1.03593189292695e-11,"GB40431"
298.923165508781,-1.21771562113536,0.203387590205878,-5.98716775149718,2.13526527777258e-09,7.33916557973802e-08,"GB40453"
9966.56433678052,-0.862493941986243,0.14116217381007,-6.10995083673551,9.96618362050577e-10,3.64649799082538e-08,"GB40461"
66.8829881354981,-1.29450941720281,0.401297919181314,-3.22580645283119,0.00125618274011677,0.0131775747789822,"GB40504"
1648.50089804158,-1.47957226328358,0.260548737889745,-5.67867752984353,1.3574010429681e-08,4.18947519180019e-07,"GB40609"
55.5001360989363,-1.79368619764453,0.461501959536074,-3.88662747921511,0.000101646557716502,0.00142998583677448,"GB40626"
2247.86466350414,-0.797386221980211,0.156114505576125,-5.10770103673287,3.26102065930674e-07,7.97587640499983e-06,"GB40673"
240.828573578139,-0.870097644353938,0.215020358953367,-4.04658260542967,5.19707900923321e-05,0.000797940692551306,"GB40681"
428.847473354272,-0.623176755248456,0.219682585812286,-2.83671440293837,0.0045580363651257,0.0378751117006874,"GB40708"
5753.38212783207,-2.03942988745139,0.135405024574374,-15.0617002128395,2.89251416078885e-51,1.04986693979992e-48,"GB40713"
93.071560842161,-1.75214935520004,0.59340686287034,-2.95269479480706,0.00315013248166692,0.0280238256261232,"GB40728"
6279.25990703462,-0.810646243671471,0.113193542524351,-7.16159443015115,7.97440534246945e-13,3.9325953303026e-11,"GB40735"
95.6311251461589,-1.71907934132065,0.327883581614118,-5.2429564568555,1.58023841688672e-07,4.09688096995146e-06,"GB40758"
313.226416941436,-1.38520411796641,0.255623814170667,-5.41891655306253,5.99612944240825e-08,1.66388007830007e-06,"GB40759"
