"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Amel_gene_ID"
3909.01641493643,-3.04900833066481,0.225174481096844,-9.09964717442188,9.06257534400581e-20,3.7386144152472e-16,"GB40806"
277.938051478116,-1.84600291752511,0.210746206119763,-4.01432098400076,5.96171707106871e-05,0.0283777732582871,"GB40809"
652.34468867953,-2.02908431481649,0.149946851164939,-6.86299383295829,6.74321388794712e-12,9.27266834191484e-09,"GB42084"
28844.4370631486,-2.29897653964351,0.183508875963685,-7.07854883215872,1.45671795188328e-12,2.57547733892964e-09,"GB43690"
100.525738854035,-2.52968306711799,0.270107280827003,-5.66324262876022,1.48538895409165e-08,1.14894835598989e-05,"GB44744"
20587.4607437481,-1.86389675181691,0.181692054694842,-4.75473048762563,1.98711323627323e-06,0.00122962567060588,"GB48391"
143.058117749235,-2.0972938746662,0.253610603779443,-4.32668767911802,1.51368350431307e-05,0.00780556127057439,"GB49327"
872.693692997383,-5.5624847068937,0.379281349078041,-12.0292883316942,2.493003740327e-33,1.54267071451435e-29,"GB49544"
21.2273034578147,-3.27000359604679,0.522047353662135,-4.34827143576694,1.37214717511687e-05,0.0073833449735854,"GB51796"
61004.7055822473,-2.63793971181577,0.312463687494312,-5.24201620018833,1.58831421281081e-07,0.000103457772093403,"GB54419"
882.106751149037,-2.52804862291164,0.222477863207516,-6.86831759745171,6.49634664540925e-12,9.27266834191484e-09,"GB54508"
