"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Bter_gene_ID"
41.1306754354433,-2.87256775090305,0.452909320265329,-4.13453127837166,3.55679811706983e-05,0.0153909768121846,"LOC100642882"
52.2273744946189,-3.26212989750902,0.454647653659986,-4.97556707771066,6.505690060013e-07,0.000469190367128137,"LOC100642963"
173.168366919983,-5.03651690619409,0.910575854046716,-4.43292767785934,9.29620559860999e-06,0.00475401989629689,"LOC100644456"
2122.12354125872,-2.81692525790644,0.248257835046009,-7.31870258020139,2.50379829469544e-13,3.86944142171646e-10,"LOC100645453"
762.132589744797,-6.53563454263382,0.666977613425416,-8.29958072236383,1.04479459634042e-16,2.26051758864214e-13,"LOC100645916"
1004.11011341215,-2.89281462114093,0.310380938444184,-6.09835974666762,1.07162362299386e-09,1.05389312304978e-06,"LOC100647524"
3667.56942138894,-2.88029174089,0.393338513182104,-4.78033977827003,1.7499917802817e-06,0.00111361241641691,"LOC100648207"
13554.4475586094,-4.62220745201877,0.777675883312104,-4.65773406344025,3.19708833390258e-06,0.00192145008867545,"LOC100650106"
86.7917893364563,-3.81947737707191,0.615308222271631,-4.5822195690199,4.60066450978231e-06,0.00261947308772763,"LOC110120153"
43.3441824909779,-6.37500221096114,1.41491819861677,-3.79880774465673,0.000145393817612981,0.0496743744091666,"LOC110120223"
50.2623467910274,-4.3470458380242,0.881686143527439,-3.79618741044674,0.000146938434192395,0.0496743744091666,"LOC110120276"
