"Bter_Gene_ID"
"LOC100631054"
"LOC100631059"
"LOC100631080"
"LOC100642199"
"LOC100642226"
"LOC100642233"
"LOC100642241"
"LOC100642260"
"LOC100642264"
"LOC100642265"
"LOC100642308"
"LOC100642322"
"LOC100642327"
"LOC100642350"
"LOC100642406"
"LOC100642421"
"LOC100642425"
"LOC100642440"
"LOC100642441"
"LOC100642459"
"LOC100642486"
"LOC100642496"
"LOC100642497"
"LOC100642499"
"LOC100642503"
"LOC100642512"
"LOC100642521"
"LOC100642529"
"LOC100642532"
"LOC100642562"
"LOC100642568"
"LOC100642590"
"LOC100642596"
"LOC100642638"
"LOC100642669"
"LOC100642722"
"LOC100642735"
"LOC100642755"
"LOC100642772"
"LOC100642786"
"LOC100642800"
"LOC100642804"
"LOC100642808"
"LOC100642822"
"LOC100642829"
"LOC100642832"
"LOC100642851"
"LOC100642873"
"LOC100642877"
"LOC100642881"
"LOC100642911"
"LOC100642914"
"LOC100642923"
"LOC100642957"
"LOC100642972"
"LOC100642975"
"LOC100642983"
"LOC100642988"
"LOC100642989"
"LOC100643003"
"LOC100643014"
"LOC100643041"
"LOC100643048"
"LOC100643051"
"LOC100643053"
"LOC100643060"
"LOC100643063"
"LOC100643068"
"LOC100643083"
"LOC100643084"
"LOC100643092"
"LOC100643098"
"LOC100643136"
"LOC100643145"
"LOC100643159"
"LOC100643185"
"LOC100643197"
"LOC100643205"
"LOC100643239"
"LOC100643271"
"LOC100643281"
"LOC100643282"
"LOC100643293"
"LOC100643303"
"LOC100643323"
"LOC100643338"
"LOC100643392"
"LOC100643413"
"LOC100643431"
"LOC100643439"
"LOC100643574"
"LOC100643593"
"LOC100643601"
"LOC100643609"
"LOC100643645"
"LOC100643659"
"LOC100643699"
"LOC100643702"
"LOC100643704"
"LOC100643719"
"LOC100643724"
"LOC100643771"
"LOC100643786"
"LOC100643814"
"LOC100643828"
"LOC100643842"
"LOC100643847"
"LOC100643856"
"LOC100643860"
"LOC100643877"
"LOC100643882"
"LOC100643886"
"LOC100643911"
"LOC100643945"
"LOC100643955"
"LOC100643967"
"LOC100643970"
"LOC100643975"
"LOC100643980"
"LOC100643984"
"LOC100644012"
"LOC100644017"
"LOC100644022"
"LOC100644024"
"LOC100644027"
"LOC100644079"
"LOC100644081"
"LOC100644090"
"LOC100644110"
"LOC100644126"
"LOC100644144"
"LOC100644153"
"LOC100644165"
"LOC100644166"
"LOC100644177"
"LOC100644185"
"LOC100644191"
"LOC100644194"
"LOC100644213"
"LOC100644215"
"LOC100644230"
"LOC100644235"
"LOC100644258"
"LOC100644272"
"LOC100644283"
"LOC100644301"
"LOC100644327"
"LOC100644347"
"LOC100644367"
"LOC100644371"
"LOC100644378"
"LOC100644386"
"LOC100644420"
"LOC100644444"
"LOC100644467"
"LOC100644486"
"LOC100644510"
"LOC100644521"
"LOC100644525"
"LOC100644560"
"LOC100644600"
"LOC100644607"
"LOC100644619"
"LOC100644632"
"LOC100644637"
"LOC100644670"
"LOC100644714"
"LOC100644725"
"LOC100644767"
"LOC100644772"
"LOC100644848"
"LOC100644852"
"LOC100644878"
"LOC100644902"
"LOC100644903"
"LOC100644929"
"LOC100644930"
"LOC100644937"
"LOC100644942"
