Gene_symbol
LOC409040
LOC409525
LOC410483
LOC411181
LOC411374
LOC411616
LOC412338
LOC552135
LOC552761
LOC724391
LOC724581
LOC724714
LOC725071
LOC725199
LOC725255
LOC725726
LOC726010
LOC726225
LOC726300
LOC726395
LOC726402
LOC726794
LOC726963
LOC727035
LOC727233
LOC727627
Obp9
ame-mir-2-3
ame-mir-283
LOC406145
LOC408547
LOC408807
LOC551404
LOC552561
LOC552608
LOC724371
LOC724410
LOC724682
LOC724748
LOC724774
LOC724783
LOC724801
LOC725191
LOC725236
LOC725384
LOC725431
LOC725698
LOC725825
LOC725937
LOC726209
LOC726278
LOC726415
LOC726811
LOC726877
LOC727089
LOC727321
LOC727431
Nos
ame-mir-12
ame-mir-305
LOC408381
LOC409608
LOC410141
LOC413040
LOC413112
LOC413379
LOC413555
LOC413598
LOC551951
LOC552054
LOC552404
LOC724190
LOC724202
LOC724227
LOC724319
LOC724462
LOC724521
LOC724609
LOC724641
LOC724735
LOC725095
LOC725521
LOC725758
LOC725794
LOC725810
LOC725836
LOC725924
LOC726154
LOC726327
LOC726411
LOC726538
LOC726615
LOC726974
LOC727032
LOC727392
LOC727433
LOC727454
Obp-8
Pla2
ame-mir-278
ame-mir-928
LOC406100
LOC409493
LOC410478
LOC410662
LOC410756
LOC410850
LOC411340
LOC412011
LOC413391
LOC413471
LOC413908
LOC413924
LOC551407
LOC724174
LOC724213
LOC724236
LOC724468
LOC724725
LOC725203
LOC725280
LOC725314
LOC725499
LOC725974
LOC725991
LOC726236
LOC726387
LOC726748
LOC726761
LOC727047
LOC727068
LOC727143
LOC727161
LOC727386
LOC727395
LOC727587
LOC727611
Obp20
LOC409800
LOC410755
LOC412934
LOC413215
LOC724143
LOC724717
LOC724900
LOC725014
LOC725675
LOC726180
LOC726929
LOC726988
LOC727316
LOC727526
LOC409000
LOC409058
LOC409327
LOC410684
LOC411166
LOC413270
LOC551750
LOC551804
LOC551876
LOC552368
LOC724117
LOC724148
LOC724374
LOC724478
LOC724677
LOC724726
LOC724852
LOC724889
LOC724934
LOC725050
LOC725137
LOC725152
LOC725279
LOC725483
LOC725783
LOC725849
LOC725891
LOC726148
LOC726329
LOC726459
LOC726536
LOC726594
LOC726630
LOC727125
LOC727226
LOC727619
Mrjp6
ame-mir-7
LOC411712
LOC412021
LOC724198
LOC724555
LOC725064
LOC725340
LOC725356
LOC725407
LOC725927
LOC725988
LOC726157
LOC726275
LOC726299
LOC726433
LOC726810
LOC726865
LOC727054
Mrjp4
Apid14
LOC408971a
LOC410107
LOC411693
LOC412007
LOC412285
LOC551268
LOC551385
LOC551688
LOC552158
LOC724194
LOC724373
LOC724612
LOC724745
LOC724845
LOC724887
LOC724939
LOC725209
LOC725309
LOC725364
LOC725417
LOC725676
LOC726287
LOC726774
LOC727225
LOC727302
LOC727584
Mrjp1
Mrjp7
Obp21
Tyr1
ame-mir-79
ame-mir-87-2
LOC408971b
LOC409314
LOC410334
LOC410454
LOC410559
LOC412740
LOC551577
LOC551930
LOC552773
LOC724395
LOC724586
LOC724640
LOC724655
LOC724694
LOC725945
LOC726342
LOC726516
LOC726561
LOC727039
LOC727168
LOC727639
LOC410621
LOC411005
LOC411174
LOC411330
LOC411651
LOC412777
LOC552224
LOC724305
LOC724351
LOC724393
LOC724674
LOC724857
LOC725017
LOC725601
LOC726074
LOC726534
LOC726535
LOC726613
LOC727063
LOC727244
LOC727335
LOC408339
LOC408934
LOC409042
LOC409596
LOC410866
LOC411073
LOC411294
LOC411345
LOC411519
LOC412013
LOC413083
LOC413205
LOC413737
LOC551387
LOC551929
LOC551993
LOC552297
LOC552311
LOC552349
LOC552500
LOC552735
LOC724120
LOC724136
LOC724293
LOC724614
LOC724854
LOC724883
LOC725175
LOC725345
LOC725482
LOC725504
LOC725644
LOC725818
LOC726993
LOC727001
LOC727130
LOC727169
LOC727338
LOC727456
LOC727475
LOC727578
Rdl
Stg-1
ame-mir-277
ame-mir-281
ame-mir-34
c-mos
LOC408394
LOC408435
LOC409293
LOC409539
LOC409674
LOC410365
LOC412167
LOC412570
LOC412797
LOC413068
LOC413366
LOC413558
LOC413645
LOC413833
LOC413968
LOC550899
LOC550922
LOC551681
LOC552238
LOC552504
LOC552521
LOC552637
LOC552666
LOC724209
LOC724253
LOC724301
LOC724492
LOC724515
LOC724543
LOC724914
LOC724979
LOC725163
LOC725223
LOC725386
LOC725695
LOC725716
LOC725779
LOC725966
LOC725994
LOC726281
LOC726441
LOC726484
LOC726518
LOC726558
LOC726763
LOC726796
LOC726863
LOC727021
LOC727056
LOC727363
LOC727403
LOC727409
LOC727416
LOC727446
LOC727560
ame-mir-993
LOC408295
LOC409002
LOC410209
LOC410479
LOC410495
LOC410853
LOC410861
LOC410888
LOC412147
LOC413294
LOC413550
LOC414050
LOC551786
LOC551788
LOC552242
LOC552395
LOC724409
LOC724431
LOC724611
LOC724800
LOC725141
LOC725531
LOC725622
LOC725691
LOC725766
LOC726001
LOC726472
LOC726628
LOC726652
LOC726684
LOC726753
LOC726935
LOC726951
LOC727148
ame-mir-71
Dop2
LOC406144
LOC408428
LOC408703
LOC408917
LOC409565
LOC409701
LOC409807
LOC410202
LOC410317
LOC410623
LOC410870
LOC411220
LOC411321
LOC411373
LOC411506
LOC411611
LOC411653
LOC412203
LOC413115
LOC413973
LOC550682
LOC551193
LOC551455
LOC551626
LOC551656
LOC551871
LOC724113
LOC724217
LOC724307
LOC724406
LOC724466
LOC724476
LOC724572
LOC724693
LOC724861
LOC725033
LOC725084
LOC725261
LOC725264
LOC725302
LOC725660
LOC725677
LOC725820
LOC725831
LOC725852
LOC725902
LOC726125
LOC726179
LOC726331
LOC726367
LOC726458
LOC726489
LOC726563
LOC726795
LOC726854
LOC727052
LOC727131
LOC727193
LOC727291
LOC727419
LOC727505
Melt
