Gene
Def
ENSRNA049756367
ENSRNA049756369
ENSRNA049756372
ENSRNA049756374
ENSRNA049756390
ENSRNA049756392
ENSRNA049756395
ENSRNA049756401
ENSRNA049756403
ENSRNA049756404
ENSRNA049756405
ENSRNA049756406
ENSRNA049756408
ENSRNA049756409
ENSRNA049756411
ENSRNA049756412
ENSRNA049756416
ENSRNA049756417
ENSRNA049756420
ENSRNA049756428
ENSRNA049756429
ENSRNA049756431
ENSRNA049756434
ENSRNA049756437
ENSRNA049756441
ENSRNA049756447
ENSRNA049756448
ENSRNA049756450
ENSRNA049756454
ENSRNA049756456
ENSRNA049756461
ENSRNA049756462
ENSRNA049756464
ENSRNA049756465
ENSRNA049756469
ENSRNA049756470
ENSRNA049756471
ENSRNA049756476
ENSRNA049756483
ENSRNA049756485
ENSRNA049756498
ENSRNA049756499
F1
F2
F3
Kr-h1
LOC100628631
LOC100631053
LOC100631054
LOC100631058
LOC100631059
LOC100631060
LOC100631064
LOC100631065
LOC100631066
LOC100631067
LOC100631072
LOC100631073
LOC100631077
LOC100631078
LOC100631080
LOC100631082
LOC100631084
LOC100631086
LOC100631087
LOC100631088
LOC100631089
LOC100631090
LOC100631091
LOC100631092
LOC100631093
LOC100631094
LOC100631095
LOC100642190
LOC100642191
LOC100642192
LOC100642193
LOC100642194
LOC100642195
LOC100642196
LOC100642197
LOC100642198
LOC100642199
LOC100642200
LOC100642201
LOC100642202
LOC100642203
LOC100642204
LOC100642205
LOC100642206
LOC100642207
LOC100642208
LOC100642209
LOC100642211
LOC100642212
LOC100642213
LOC100642214
LOC100642216
LOC100642217
LOC100642218
LOC100642219
LOC100642220
LOC100642221
LOC100642223
LOC100642224
LOC100642225
LOC100642226
LOC100642227
LOC100642228
LOC100642229
LOC100642230
LOC100642232
LOC100642233
LOC100642234
LOC100642235
LOC100642236
LOC100642238
LOC100642239
LOC100642240
LOC100642241
LOC100642242
LOC100642243
LOC100642244
LOC100642245
LOC100642246
LOC100642247
LOC100642248
LOC100642249
LOC100642250
LOC100642251
LOC100642252
LOC100642253
LOC100642254
LOC100642255
LOC100642256
LOC100642258
LOC100642259
LOC100642260
LOC100642261
LOC100642262
LOC100642263
LOC100642264
LOC100642265
LOC100642267
LOC100642268
LOC100642269
LOC100642270
LOC100642271
LOC100642272
LOC100642273
LOC100642274
LOC100642275
LOC100642277
LOC100642278
LOC100642279
LOC100642280
LOC100642281
LOC100642282
LOC100642283
LOC100642284
LOC100642285
LOC100642287
LOC100642288
LOC100642289
LOC100642290
LOC100642291
LOC100642292
LOC100642293
LOC100642294
LOC100642295
LOC100642296
LOC100642297
LOC100642298
LOC100642299
LOC100642300
LOC100642301
LOC100642302
LOC100642303
LOC100642304
LOC100642305
LOC100642306
LOC100642307
LOC100642308
LOC100642309
LOC100642311
LOC100642312
LOC100642313
LOC100642314
LOC100642315
LOC100642316
LOC100642318
LOC100642319
LOC100642320
LOC100642321
LOC100642322
LOC100642323
LOC100642324
LOC100642325
LOC100642326
LOC100642327
LOC100642328
LOC100642329
LOC100642330
LOC100642332
LOC100642333
LOC100642334
LOC100642335
LOC100642336
LOC100642337
LOC100642338
LOC100642339
LOC100642340
LOC100642341
LOC100642342
LOC100642344
LOC100642345
LOC100642346
LOC100642347
LOC100642348
LOC100642349
LOC100642350
LOC100642351
LOC100642353
LOC100642354
LOC100642355
LOC100642356
LOC100642357
LOC100642358
LOC100642359
LOC100642360
LOC100642361
LOC100642362
LOC100642363
LOC100642364
LOC100642365
LOC100642366
LOC100642367
LOC100642368
LOC100642370
LOC100642372
LOC100642373
LOC100642374
LOC100642375
LOC100642376
LOC100642377
LOC100642378
LOC100642379
LOC100642381
LOC100642382
LOC100642383
LOC100642384
LOC100642385
LOC100642386
LOC100642387
LOC100642388
LOC100642389
LOC100642390
LOC100642391
LOC100642392
LOC100642393
LOC100642394
LOC100642395
LOC100642396
LOC100642397
LOC100642398
LOC100642399
LOC100642400
LOC100642401
LOC100642402
LOC100642403
LOC100642404
LOC100642405
LOC100642406
LOC100642408
LOC100642409
LOC100642411
LOC100642412
LOC100642413
LOC100642414
LOC100642415
LOC100642416
LOC100642417
LOC100642418
LOC100642419
LOC100642420
LOC100642421
LOC100642422
LOC100642423
LOC100642424
LOC100642425
LOC100642426
LOC100642428
LOC100642429
LOC100642431
LOC100642432
LOC100642433
LOC100642434
LOC100642435
LOC100642436
LOC100642437
LOC100642438
LOC100642439
LOC100642440
LOC100642441
LOC100642442
LOC100642443
LOC100642444
LOC100642445
LOC100642446
LOC100642447
LOC100642448
LOC100642449
LOC100642450
LOC100642451
LOC100642452
LOC100642453
LOC100642454
LOC100642455
LOC100642456
LOC100642457
LOC100642458
LOC100642459
LOC100642460
LOC100642461
LOC100642462
LOC100642463
LOC100642464
LOC100642465
LOC100642466
LOC100642467
LOC100642468
LOC100642469
LOC100642470
LOC100642472
LOC100642473
LOC100642474
LOC100642475
LOC100642477
LOC100642478
LOC100642479
LOC100642480
LOC100642481
LOC100642482
LOC100642483
LOC100642484
LOC100642485
LOC100642486
LOC100642487
LOC100642488
LOC100642490
LOC100642491
LOC100642492
LOC100642493
LOC100642494
LOC100642495
LOC100642496
LOC100642497
LOC100642498
LOC100642499
LOC100642500
LOC100642502
LOC100642503
LOC100642504
LOC100642505
LOC100642506
LOC100642507
LOC100642508
LOC100642510
LOC100642511
LOC100642512
LOC100642513
LOC100642514
LOC100642515
LOC100642516
LOC100642518
LOC100642519
LOC100642520
LOC100642521
LOC100642522
LOC100642523
LOC100642524
LOC100642526
LOC100642527
LOC100642528
LOC100642529
LOC100642530
LOC100642531
LOC100642532
LOC100642533
LOC100642534
LOC100642535
LOC100642536
LOC100642537
LOC100642538
LOC100642539
LOC100642540
LOC100642541
LOC100642542
LOC100642544
LOC100642545
LOC100642549
LOC100642550
LOC100642551
LOC100642552
LOC100642553
LOC100642554
LOC100642555
LOC100642556
LOC100642557
LOC100642558
LOC100642559
LOC100642560
LOC100642561
LOC100642562
LOC100642563
LOC100642564
