#ID,2dD,2dQ,2dW,4dD,4dQ,4dW,geneLength
Bee_newGene_1,2,4,4,6,18,10,741
Bee_newGene_1038,22,26,36,70,210,384,2221
Bee_newGene_104,6,12,16,18,16,8,924
Bee_newGene_1040,2070,1922,1866,1512,1388,1456,2199
Bee_newGene_1041,76,76,60,78,60,54,704
Bee_newGene_1044,324,248,284,338,218,382,898
Bee_newGene_1045,118,158,202,164,74,250,1352
Bee_newGene_1046,70,34,30,38,28,14,3301
Bee_newGene_1047,4,2,4,0,2,0,910
Bee_newGene_1048,4,2,0,2,2,2,482
Bee_newGene_1049,160,98,126,110,110,152,15309
Bee_newGene_1052,20,8,10,18,14,6,518
Bee_newGene_1053,6,2,4,6,6,6,770
Bee_newGene_1054,4,2,2,4,2,2,1356
Bee_newGene_1055,4,4,2,4,4,2,1183
Bee_newGene_1057,0,0,0,0,16,2,1053
Bee_newGene_1058,14,4,10,46,14,20,956
Bee_newGene_1063,4,4,4,10,6,4,753
Bee_newGene_1064,2,2,2,2,10,2,632
Bee_newGene_1067,4,4,8,2,2,2,732
Bee_newGene_1069,34,22,20,16,22,20,1332
Bee_newGene_1071,82,100,122,86,54,134,5186
Bee_newGene_109,92,60,50,124,58,98,2502
Bee_newGene_111,2,4,4,2,2,2,862
Bee_newGene_113,20,0,12,12,14,4,4197
Bee_newGene_114,16,6,4,16,12,16,1938
Bee_newGene_115,18,12,8,80,16,36,1146
Bee_newGene_118,8,6,12,2,2,4,1384
Bee_newGene_1180,34,14,24,50,76,28,4989
Bee_newGene_1181,4,4,4,4,6,2,716
Bee_newGene_1183,14,50,14,140,344,444,590
Bee_newGene_1185,10,2,12,0,12,6,4898
Bee_newGene_1186,232,128,184,110,128,156,799
Bee_newGene_1187,2,2,2,0,2,2,490
Bee_newGene_1188,6,10,6,4,48,20,2051
Bee_newGene_1189,112,122,92,154,324,186,6957
Bee_newGene_1190,4,6,2,4,2,4,983
Bee_newGene_1191,150,98,78,124,62,64,1260
Bee_newGene_1195,12,10,18,12,8,4,2235
Bee_newGene_1196,114,92,100,68,154,98,6863
Bee_newGene_1201,14,6,8,8,2,4,603
Bee_newGene_1206,8,2,8,4,4,6,905
Bee_newGene_121,0,2,0,2,32,32,806
Bee_newGene_1213,38,14,32,40,32,36,4862
Bee_newGene_1214,10,18,2,18,76,38,1915
Bee_newGene_1215,28,16,30,14,16,32,6970
Bee_newGene_1218,20,18,20,18,24,30,2450
Bee_newGene_1219,2,2,2,2,26,14,1508
Bee_newGene_122,66,78,128,232,238,572,717
Bee_newGene_1220,16,0,4,24,58,20,8129
Bee_newGene_1221,18,10,14,16,14,14,1063
Bee_newGene_1224,4,0,2,2,2,8,900
Bee_newGene_1226,4,4,8,4,2,2,1386
Bee_newGene_1228,1052,904,1472,898,710,1484,1634
Bee_newGene_124,28,18,8,20,24,8,1093
Bee_newGene_13,340,134,238,226,148,246,11799
Bee_newGene_1359,26,22,28,24,52,28,684
Bee_newGene_1365,8,4,6,10,12,10,1060
Bee_newGene_1366,6,6,6,2,6,2,1064
Bee_newGene_1368,70,54,48,42,38,56,4688
Bee_newGene_1371,0,0,0,0,6,2,388
Bee_newGene_1374,4,2,4,4,4,4,679
Bee_newGene_1377,2036,1922,2216,2070,2154,3104,3729
Bee_newGene_1378,8,6,6,10,6,36,1389
Bee_newGene_1381,8,2,2,6,6,2,726
Bee_newGene_1382,16,2,4,26,4,4,2181
Bee_newGene_1383,8,2,4,4,8,10,1486
Bee_newGene_1384,98,224,224,186,268,204,991
Bee_newGene_1388,124,98,122,88,68,84,3163
Bee_newGene_1391,16,12,6,6,6,4,2280
Bee_newGene_1393,42,120,42,134,0,0,715
Bee_newGene_1394,28,30,24,24,18,36,3033
Bee_newGene_1397,84,24,44,66,36,14,3796
Bee_newGene_1399,8,8,16,2,2,4,851
Bee_newGene_1400,26,18,32,8,10,10,945
Bee_newGene_1401,8,6,12,2,4,4,1618
Bee_newGene_1402,40,56,110,38,40,76,12171
Bee_newGene_1533,128,114,166,130,166,350,3369
Bee_newGene_1534,4,4,2,2,4,2,777
Bee_newGene_1535,226,86,124,60,32,54,1427
Bee_newGene_1539,2,2,4,4,6,2,767
Bee_newGene_1541,234,134,82,204,24,28,3288
Bee_newGene_1542,8,8,10,6,6,6,790
Bee_newGene_1543,14,10,10,14,10,8,1377
Bee_newGene_1545,10,4,6,8,4,2,2073
Bee_newGene_1546,8810,5042,8768,10212,4574,23424,17249
Bee_newGene_1552,0,6,6,2,4,0,2693
Bee_newGene_1553,76,80,54,74,220,218,3767
Bee_newGene_1557,22,62,56,38,24,44,779
Bee_newGene_1559,84,54,54,108,56,32,2060
Bee_newGene_1560,4,8,18,16,4,16,718
Bee_newGene_1561,6,2,4,4,2,4,635
Bee_newGene_1563,16,12,14,4,2,2,835
Bee_newGene_1564,2,2,2,2,6,4,711
Bee_newGene_1567,14,6,6,4,4,4,1289
Bee_newGene_1568,6580,6424,8668,6980,4964,9082,13306
Bee_newGene_1569,8,6,4,10,10,8,1061
Bee_newGene_1571,2,2,2,2,2,2,767
Bee_newGene_1576,12,6,6,12,12,22,20234
Bee_newGene_1578,14,14,8,18,12,8,1270
Bee_newGene_1579,2,2,0,2,2,2,832
Bee_newGene_1580,22,26,26,14,18,20,2068
Bee_newGene_17,0,0,0,4,2,4,2634
Bee_newGene_1710,6,4,4,8,4,6,471
Bee_newGene_1712,24,18,14,24,32,20,1558
Bee_newGene_1714,10,4,4,6,4,2,381
Bee_newGene_1716,4,0,2,4,4,2,648
Bee_newGene_1717,46,14,24,24,10,20,4577
Bee_newGene_1718,24,8,12,8,10,10,1540
Bee_newGene_1719,108,78,120,78,172,126,1385
Bee_newGene_1720,10,24,26,10,28,26,2789
Bee_newGene_1721,62,56,64,78,238,180,3082
Bee_newGene_1722,4,2,4,6,8,6,978
Bee_newGene_1724,10,2,10,12,8,10,2277
Bee_newGene_1725,54,16,30,158,42,134,3747
Bee_newGene_1726,6,2,2,2,2,4,798
Bee_newGene_1727,28,16,24,28,30,38,2082
Bee_newGene_1728,10,6,10,10,8,14,1892
Bee_newGene_1730,44,252,144,4,88,18,982
Bee_newGene_1733,22,8,10,18,8,8,2858
Bee_newGene_1734,8,4,4,10,2,4,942
Bee_newGene_1741,128,94,122,68,74,88,2279
Bee_newGene_1742,14,6,2,4,0,2,3128
Bee_newGene_1743,4,34,8,16,0,0,6021
Bee_newGene_1746,6,4,6,10,44,82,931
Bee_newGene_1747,156,122,148,184,88,188,4765
Bee_newGene_1748,6,2,2,4,4,2,477
Bee_newGene_1750,34,22,32,36,52,36,2712
Bee_newGene_1752,8,4,2,2,6,4,1036
Bee_newGene_1753,4,4,6,4,2,2,2128
Bee_newGene_1754,12,4,12,16,14,16,2953
Bee_newGene_1755,46,34,40,36,36,58,2440
Bee_newGene_1846,12,4,18,12,260,26,7525
Bee_newGene_1847,4,4,2,4,2,0,985
Bee_newGene_1849,18,16,10,6,30,4,1468
Bee_newGene_1852,6,6,14,6,18,36,22274
Bee_newGene_1854,30,26,50,12,14,84,11234
Bee_newGene_1860,10,18,18,16,12,14,1978
Bee_newGene_1861,20,12,10,12,4,4,2468
Bee_newGene_1862,12,12,6,8,20,16,511
Bee_newGene_1863,6,8,4,6,22,6,762
Bee_newGene_1869,58,40,60,28,28,44,3049
Bee_newGene_1873,14,18,14,8,6,2,1017
Bee_newGene_1874,40,30,16,40,64,12,740
Bee_newGene_1879,0,132,206,74,32,106,9405
Bee_newGene_1880,2,2,0,0,2,0,6234
Bee_newGene_1881,2,2,2,4,2,2,498
Bee_newGene_1897,6,4,4,2,4,4,1456
Bee_newGene_1898,16,8,12,12,4,6,1222
Bee_newGene_1899,120,154,196,98,54,172,2768
Bee_newGene_1901,90,52,52,84,88,82,900
Bee_newGene_2067,66,46,80,64,26,36,3624
Bee_newGene_2068,94,70,90,86,40,74,2661
Bee_newGene_2069,0,0,0,0,0,2,4032
Bee_newGene_2070,12,10,10,16,4,8,1407
Bee_newGene_2075,10,8,10,10,12,4,640
Bee_newGene_2076,14,6,12,6,4,8,2085
Bee_newGene_2079,12,8,10,6,8,14,2060
Bee_newGene_2082,62,58,50,32,22,32,6270
Bee_newGene_2083,104,128,130,118,108,132,2742
Bee_newGene_2084,6,2,2,12,4,8,800
Bee_newGene_2088,22,12,12,16,18,8,2371
Bee_newGene_2089,10,14,8,10,16,10,827
Bee_newGene_2090,2,2,2,2,0,0,288
Bee_newGene_2093,118,86,90,114,32,42,2235
Bee_newGene_2094,52,34,54,62,46,50,3832
Bee_newGene_2096,4,2,2,4,4,6,904
Bee_newGene_2097,14,4,6,8,4,4,391
Bee_newGene_2098,12,8,8,8,12,8,1167
Bee_newGene_2099,84,78,84,74,100,160,3032
Bee_newGene_2100,14,8,8,6,10,4,1138
Bee_newGene_2101,14,12,14,22,18,32,933
Bee_newGene_2102,420,200,320,306,10,24,15087
Bee_newGene_2103,14,10,6,54,4,4,1880
Bee_newGene_2104,2,8,2,4,6,6,1426
Bee_newGene_2105,2,2,2,2,10,2,1037
Bee_newGene_2107,8,2,4,6,2,4,635
Bee_newGene_2108,194,508,342,504,338,556,1403
Bee_newGene_2110,158,180,230,112,70,140,1644
Bee_newGene_2113,54,76,72,58,26,66,3624
Bee_newGene_2116,82,72,64,84,112,80,2703
Bee_newGene_2117,2,2,2,4,4,6,818
Bee_newGene_2119,0,0,2,0,0,0,3542
Bee_newGene_2121,2,2,2,4,2,6,666
Bee_newGene_2123,18,4,12,16,4,6,2135
Bee_newGene_2126,1816,1530,1838,1714,1748,2680,4933
Bee_newGene_2127,62,30,28,50,22,40,1335
Bee_newGene_2128,78,50,60,66,50,22,4353
Bee_newGene_2129,4,2,2,2,2,2,792
Bee_newGene_2132,2,0,4,6,2,4,553
Bee_newGene_2138,10,4,4,6,12,8,1410
Bee_newGene_2139,32,16,20,18,14,22,1744
Bee_newGene_2143,356,302,238,462,362,342,2925
Bee_newGene_2146,20,6,10,10,6,4,594
Bee_newGene_2147,14,18,16,28,2,6,2069
Bee_newGene_2149,124,100,134,86,104,122,6280
Bee_newGene_2150,32,16,18,28,50,18,1130
Bee_newGene_2151,6,10,6,6,6,4,489
Bee_newGene_2154,516,1576,1960,1832,486,2298,602
Bee_newGene_2333,22,8,218,214,162,364,9417
Bee_newGene_2334,22,16,14,18,28,20,1423
Bee_newGene_2337,4,4,4,4,6,2,1357
Bee_newGene_2338,48,26,26,16,24,8,607
Bee_newGene_2339,6,4,4,6,6,4,1300
Bee_newGene_2340,26,26,32,38,48,20,4543
Bee_newGene_2344,2,4,2,2,20,2,784
Bee_newGene_2346,2,2,2,4,2,4,821
Bee_newGene_2355,4,2,2,2,2,2,468
Bee_newGene_2363,34,32,34,48,42,50,2435
Bee_newGene_2364,28,14,18,24,22,24,1844
Bee_newGene_2369,2,2,2,2,4,2,1037
Bee_newGene_2371,54,30,36,76,22,14,1655
Bee_newGene_2374,42,42,30,40,26,42,5788
Bee_newGene_2377,0,2,0,2,2,2,3815
Bee_newGene_2381,396,216,224,264,200,136,2202
Bee_newGene_2382,20,12,10,18,14,28,1674
Bee_newGene_2384,52,26,40,22,12,16,569
Bee_newGene_2386,78,48,54,42,8,10,2727
Bee_newGene_2388,2,2,2,2,2,0,658
Bee_newGene_2392,24,22,22,26,42,28,1426
Bee_newGene_2395,10,6,4,8,6,2,435
Bee_newGene_25,10,14,20,6,6,14,1263
Bee_newGene_2532,14,28,28,24,14,16,352
Bee_newGene_2534,2,0,2,2,2,2,745
Bee_newGene_2535,1086,1356,2188,212,102,378,15891
Bee_newGene_2537,4,4,6,2,2,2,1006
Bee_newGene_2538,38,36,56,8,4,10,3813
Bee_newGene_2540,28,16,14,34,22,26,1575
Bee_newGene_2541,12,18,22,6,16,8,2358
Bee_newGene_2542,18,48,60,14,44,34,2803
Bee_newGene_2543,142,146,150,104,142,108,5002
Bee_newGene_2544,220,242,226,214,202,182,496
Bee_newGene_2554,82,108,122,72,152,202,4383
Bee_newGene_2555,18,10,16,10,42,8,1489
Bee_newGene_2556,54,28,26,32,6,20,4731
Bee_newGene_2558,0,0,2,2,0,0,7016
Bee_newGene_2559,206,202,226,142,166,170,4485
Bee_newGene_2560,14,6,12,12,8,14,2078
Bee_newGene_2567,12,8,20,6,4,4,380
Bee_newGene_2572,58,48,56,24,42,32,8968
Bee_newGene_2574,2,4,2,44,2,14,3429
Bee_newGene_2575,16,12,10,8,4,22,1611
Bee_newGene_2576,22,6,10,18,32,40,2591
Bee_newGene_2577,2,2,2,2,2,2,1841
Bee_newGene_2578,142,142,162,112,82,154,8089
Bee_newGene_2586,44,22,20,28,10,22,4903
Bee_newGene_2587,6,6,6,8,8,8,885
Bee_newGene_2589,8,6,6,2,2,4,1222
Bee_newGene_2590,54,26,32,32,48,26,1829
Bee_newGene_2592,72,52,80,40,26,52,3314
Bee_newGene_2594,6,6,6,8,2,2,939
Bee_newGene_2597,4,10,2,4,6,4,984
Bee_newGene_26,10,12,12,12,8,4,990
Bee_newGene_2600,128,118,132,106,102,120,5223
Bee_newGene_2753,12,6,6,8,4,6,1523
Bee_newGene_2754,22,20,26,18,40,26,3007
Bee_newGene_2757,4,4,6,6,4,16,1039
Bee_newGene_2759,18,8,8,4,4,16,2623
Bee_newGene_2760,166,280,218,196,180,298,11420
Bee_newGene_2762,58,58,54,62,60,66,1236
Bee_newGene_2764,14,8,4,10,4,4,1388
Bee_newGene_2765,42,18,22,38,18,84,3152
Bee_newGene_2766,4,20,14,2,6,10,2208
Bee_newGene_2767,114,66,94,42,30,24,9997
Bee_newGene_2768,4,8,6,4,14,4,1200
Bee_newGene_2769,30,30,28,56,58,68,1463
Bee_newGene_2770,4,6,4,2,2,4,1564
Bee_newGene_2772,2,2,4,0,2,2,1620
Bee_newGene_2774,10,2,8,2,12,18,1332
Bee_newGene_2775,146,56,70,76,110,222,6009
Bee_newGene_2776,6,2,8,8,4,2,809
Bee_newGene_2777,6,2,2,4,2,2,770
Bee_newGene_2778,2,4,2,6,12,6,455
Bee_newGene_2781,8,6,4,6,30,6,1755
Bee_newGene_2782,0,2,2,2,2,2,1457
Bee_newGene_2783,38,20,22,46,44,34,2614
Bee_newGene_2785,10,16,18,18,12,22,487
Bee_newGene_2786,34,16,30,18,20,14,1110
Bee_newGene_2788,310,472,486,378,302,180,2786
Bee_newGene_2789,52,32,40,48,48,46,816
Bee_newGene_2791,10,10,12,8,4,2,1626
Bee_newGene_2792,4,2,4,8,24,50,1277
Bee_newGene_2793,12,8,6,16,24,14,937
Bee_newGene_2794,4,2,2,4,6,10,1082
Bee_newGene_2795,34,66,104,8,10,22,2493
Bee_newGene_2796,30,14,20,24,16,12,771
Bee_newGene_2798,8,14,12,20,28,18,1936
Bee_newGene_2799,94,76,94,82,40,52,2114
Bee_newGene_28,1388,1666,1784,1518,1246,1518,1651
Bee_newGene_2802,14,10,12,2,2,2,1018
Bee_newGene_2803,8,6,10,2,2,2,744
Bee_newGene_2805,366,446,536,468,432,720,11503
Bee_newGene_2806,54,30,42,46,26,38,3666
Bee_newGene_2807,8,8,10,10,10,18,1024
Bee_newGene_2811,8,0,0,4,6,16,5143
Bee_newGene_2814,1222,432,748,764,628,974,5594
Bee_newGene_2815,22,18,16,10,26,38,1287
Bee_newGene_2818,94,54,56,66,132,50,2278
Bee_newGene_2822,2,2,0,4,2,2,378
Bee_newGene_2823,722,444,420,800,852,1070,1921
Bee_newGene_2824,50,16,16,40,32,34,2207
Bee_newGene_2828,2,2,2,2,2,4,895
Bee_newGene_2830,10,6,8,8,12,10,1847
Bee_newGene_2831,12,16,8,14,8,4,2602
Bee_newGene_2834,418,276,282,366,390,370,983
Bee_newGene_3050,1754,1894,2060,1994,2016,1834,6056
Bee_newGene_3056,52,18,32,38,54,54,1462
Bee_newGene_3057,12,10,10,6,44,4,1165
Bee_newGene_3059,0,10,0,170,126,18,1208
Bee_newGene_3060,2,2,2,0,12,2,1013
Bee_newGene_3061,4,4,4,2,6,6,655
Bee_newGene_3063,170,76,104,90,92,92,1860
Bee_newGene_3070,42,46,54,46,26,48,1376
Bee_newGene_3073,4,0,0,2,2,0,2468
Bee_newGene_3076,22,6,12,4,6,4,2274
Bee_newGene_3077,20,18,14,22,48,32,2326
Bee_newGene_3078,0,4,6,2,2,0,4724
Bee_newGene_3079,70,68,64,58,52,76,2983
Bee_newGene_3089,8,0,2,0,10,8,2284
Bee_newGene_3090,38,50,52,44,40,70,1006
Bee_newGene_3091,44,56,28,18,76,18,13774
Bee_newGene_3092,22,8,10,20,28,12,1414
Bee_newGene_3094,230,266,236,236,164,172,7987
Bee_newGene_31,8,4,8,4,6,10,1041
Bee_newGene_3100,4,2,4,4,14,4,828
Bee_newGene_3103,16,4,6,14,0,4,3063
Bee_newGene_3105,26,34,44,24,26,38,2121
Bee_newGene_3106,112,90,96,96,80,170,3714
Bee_newGene_3107,2,2,2,6,6,14,822
Bee_newGene_3110,0,0,2,2,0,2,2197
Bee_newGene_3223,20,6,8,8,4,2,788
Bee_newGene_3225,156,78,124,110,44,98,5844
Bee_newGene_3226,2,6,4,4,4,4,1135
Bee_newGene_3227,216,262,274,240,140,216,3625
Bee_newGene_3228,0,0,4,0,2,2,779
Bee_newGene_3230,16,18,16,26,54,38,1390
Bee_newGene_3231,2,4,4,2,8,6,870
Bee_newGene_3232,18,16,14,18,18,20,691
Bee_newGene_3233,6,8,6,6,2,8,721
Bee_newGene_3234,164,92,58,96,14,14,1105
Bee_newGene_3235,2,0,0,0,18,0,909
Bee_newGene_3239,116,148,154,112,86,102,766
Bee_newGene_3240,6,10,6,6,8,2,1580
Bee_newGene_3243,72,38,46,54,32,28,2067
Bee_newGene_3246,212,162,132,168,118,136,1744
Bee_newGene_3247,14,12,16,8,10,10,918
Bee_newGene_3248,8,8,8,6,2,8,1300
Bee_newGene_3249,2,4,2,2,2,2,462
Bee_newGene_3250,12,4,6,6,6,4,887
Bee_newGene_3251,8,38,20,10,6,8,3692
Bee_newGene_3253,72,76,92,52,34,54,5879
Bee_newGene_3254,12,6,6,4,4,2,834
Bee_newGene_3255,6,6,8,4,4,4,881
Bee_newGene_3256,144,108,136,84,62,84,4879
Bee_newGene_3258,28,20,24,18,16,10,2354
Bee_newGene_3261,10,18,12,8,8,12,923
Bee_newGene_3262,10,12,12,10,30,12,2404
Bee_newGene_3264,22,22,20,22,16,24,1917
Bee_newGene_3266,2,4,4,2,2,4,1477
Bee_newGene_3268,12,22,12,6,46,16,2999
Bee_newGene_3272,8,10,10,6,4,8,550
Bee_newGene_3273,6,6,6,4,6,6,538
Bee_newGene_3276,16,8,4,2,4,6,1702
Bee_newGene_3277,44,54,76,50,50,150,1355
Bee_newGene_3278,6,2,4,2,4,4,785
Bee_newGene_3279,632,464,500,514,296,358,1361
Bee_newGene_3280,8,10,8,8,386,8,2863
Bee_newGene_3282,4,6,4,6,6,2,452
Bee_newGene_3284,8,4,2,4,8,2,827
Bee_newGene_3286,10,2,6,4,4,2,905
Bee_newGene_3289,16,8,14,12,8,10,2791
Bee_newGene_3290,52,48,36,86,118,48,1970
Bee_newGene_3291,12,6,8,14,20,22,1190
Bee_newGene_3292,14,4,6,6,6,6,780
Bee_newGene_3293,84,94,82,60,74,62,3343
Bee_newGene_3295,2,4,4,2,2,0,635
Bee_newGene_3296,2,2,2,4,2,2,959
Bee_newGene_3297,66,20,36,32,22,8,581
Bee_newGene_3299,86,204,214,122,102,128,1040
Bee_newGene_33,10,6,8,8,8,8,821
Bee_newGene_3300,4,2,4,2,4,4,1073
Bee_newGene_3301,4,2,2,0,0,4,934
Bee_newGene_3302,0,0,0,0,0,0,3185
Bee_newGene_3304,0,2,2,4,4,2,1349
Bee_newGene_3305,6,2,4,2,4,4,1057
Bee_newGene_3306,8,0,12,8,16,2,5679
Bee_newGene_3307,56,48,64,34,36,44,2453
Bee_newGene_3308,4,16,6,10,6,8,2203
Bee_newGene_3310,8,20,14,10,16,14,925
Bee_newGene_3455,150,218,226,168,130,158,2339
Bee_newGene_3457,12,6,16,12,12,6,2458
Bee_newGene_3460,8,64,6,18,58,8,3811
Bee_newGene_3462,142,172,196,100,64,90,2420
Bee_newGene_3463,6,8,14,6,6,10,3298
Bee_newGene_3464,18,14,16,18,8,12,1460
Bee_newGene_3467,158,292,212,102,228,332,2961
Bee_newGene_3469,8,10,12,12,8,10,2102
Bee_newGene_3471,102,42,104,126,122,68,4819
Bee_newGene_3472,150,108,136,88,56,76,8716
Bee_newGene_3478,4,16,24,18,0,6,4613
Bee_newGene_3479,20,30,20,14,46,18,2116
Bee_newGene_3482,24,12,6,6,2,2,874
Bee_newGene_3484,12,6,6,12,10,18,1826
Bee_newGene_3488,40,38,40,36,28,36,1446
Bee_newGene_3494,22,28,32,20,26,36,781
Bee_newGene_3495,200,426,230,120,348,402,3358
Bee_newGene_3497,2,4,2,10,18,18,715
Bee_newGene_3498,2,0,0,0,2,2,514
Bee_newGene_3499,0,8,0,14,2,4,16839
Bee_newGene_35,52,32,36,42,46,40,2769
Bee_newGene_3513,12,16,14,60,2,4,1404
Bee_newGene_3514,4,2,2,4,26,8,707
Bee_newGene_3515,292,100,186,184,170,196,1554
Bee_newGene_3517,30,42,36,34,34,46,1365
Bee_newGene_3708,12,16,10,4,2,2,1061
Bee_newGene_3709,6,6,10,4,4,4,1069
Bee_newGene_3716,24,26,32,34,26,42,770
Bee_newGene_3717,166,150,154,264,188,184,934
Bee_newGene_3763,68,52,50,78,140,64,319
Bee_newGene_3773,280,178,240,548,524,260,1679
Bee_newGene_3820,34,34,36,42,32,28,1249
Bee_newGene_3825,6,2,2,4,2,4,1142
Bee_newGene_3833,6,4,4,2,6,12,271
Bee_newGene_3837,4,2,2,14,2,14,2439
Bee_newGene_3866,4,2,4,2,4,6,856
Bee_newGene_3867,2,0,2,4,4,2,510
Bee_newGene_3869,34,40,36,30,22,34,2272
Bee_newGene_3870,2,6,6,0,10,0,2188
Bee_newGene_3886,116,96,74,66,110,82,1326
Bee_newGene_3899,96,110,108,110,96,110,613
Bee_newGene_3902,6,10,8,6,2,4,1047
Bee_newGene_3917,128,144,134,120,120,116,542
Bee_newGene_3953,38,22,34,80,14,76,7782
Bee_newGene_3976,50,70,62,64,66,52,701
Bee_newGene_3984,0,0,0,2,0,6,287
Bee_newGene_4018,10,18,12,12,16,8,527
Bee_newGene_4022,44,24,32,52,20,36,4659
Bee_newGene_4023,10,4,2,10,4,10,1615
Bee_newGene_4045,10,4,6,8,6,4,1427
Bee_newGene_4050,1472,1550,1094,792,872,814,2116
Bee_newGene_4058,24,32,36,30,84,86,858
Bee_newGene_4072,40,56,64,34,28,36,900
Bee_newGene_41,0,2,6,4,2,10,1677
Bee_newGene_4103,16,6,2,18,4,8,805
Bee_newGene_4109,68,64,98,164,74,228,857
Bee_newGene_4127,0,2,0,2,2,0,344
Bee_newGene_4129,26,26,30,4,12,16,4416
Bee_newGene_4158,28,16,16,28,20,22,1467
Bee_newGene_4174,6,6,6,4,2,2,1064
Bee_newGene_4195,56,28,38,58,48,28,982
Bee_newGene_42,14,8,14,10,6,10,772
Bee_newGene_4201,38,32,34,42,34,44,1265
Bee_newGene_4232,10,6,8,6,8,10,449
Bee_newGene_4245,40,34,34,68,24,20,1406
Bee_newGene_4262,6,34,2,10,8,2,3202
Bee_newGene_4275,10,4,6,8,8,6,794
Bee_newGene_4301,8,2,4,10,4,8,469
Bee_newGene_4319,2,2,2,2,12,2,1115
Bee_newGene_4356,10,14,8,10,6,8,1268
Bee_newGene_4360,12,8,10,20,12,42,3059
Bee_newGene_4361,78,46,40,98,42,46,4001
Bee_newGene_4376,12,40,46,22,18,22,626
Bee_newGene_4396,200,244,250,274,396,368,1538
Bee_newGene_4415,26,20,20,36,24,36,1073
Bee_newGene_4416,22,14,18,28,30,30,2848
Bee_newGene_4424,716,716,932,1876,1698,4756,1463
Bee_newGene_4427,34,24,32,46,12,32,1456
Bee_newGene_4428,20,6,6,30,16,8,1405
Bee_newGene_4474,10,8,4,8,8,4,733
Bee_newGene_4475,518,410,486,668,288,220,7878
Bee_newGene_4490,3048,1574,1888,4112,2184,5252,9579
Bee_newGene_4508,4,4,2,2,2,4,608
Bee_newGene_4527,74,68,78,92,32,58,696
Bee_newGene_46,8,6,6,4,8,4,655
Bee_newGene_5,50,26,24,36,12,26,1788
Bee_newGene_51,6,4,8,8,6,12,1188
Bee_newGene_523,8,8,6,4,8,4,823
Bee_newGene_524,18,14,16,6,6,8,1264
Bee_newGene_525,4,10,12,10,6,12,1312
Bee_newGene_527,2212,1740,1502,1464,2464,1574,736
Bee_newGene_528,18,12,20,2,6,2,945
Bee_newGene_530,112,104,108,102,54,92,6538
Bee_newGene_533,20,26,10,8,110,4,569
Bee_newGene_534,754,362,738,1168,748,1272,855
Bee_newGene_535,8,2,2,4,2,2,3008
Bee_newGene_538,8,6,6,4,4,2,1196
Bee_newGene_547,22,10,10,16,8,10,2633
Bee_newGene_548,14,6,6,24,8,12,1342
Bee_newGene_55,2,2,2,2,2,2,768
Bee_newGene_550,4,6,2,4,8,4,921
Bee_newGene_551,34,18,22,24,14,24,2573
Bee_newGene_552,16,10,6,12,4,6,1822
Bee_newGene_553,30,18,18,46,60,46,1691
Bee_newGene_554,32,14,18,24,14,20,1426
Bee_newGene_555,12,14,16,10,6,10,1194
Bee_newGene_556,66,86,74,140,162,126,4449
Bee_newGene_561,32,16,16,18,8,16,4260
Bee_newGene_564,4,4,4,6,48,6,1802
Bee_newGene_566,26,14,20,12,16,10,1101
Bee_newGene_568,10,12,18,8,10,10,2176
Bee_newGene_569,10,8,10,6,8,4,838
Bee_newGene_57,92,42,54,92,60,62,1003
Bee_newGene_571,76,50,48,50,22,20,2135
Bee_newGene_574,34,18,22,22,10,16,2887
Bee_newGene_575,10,4,6,2,4,2,506
Bee_newGene_576,112,24,84,264,178,342,3633
Bee_newGene_578,42,22,34,52,58,66,1214
Bee_newGene_58,14,10,8,14,6,8,704
Bee_newGene_582,4,2,2,4,2,4,956
Bee_newGene_586,4,8,10,2,2,12,489
Bee_newGene_587,8,6,6,8,4,8,1006
Bee_newGene_588,6,10,8,6,6,4,685
Bee_newGene_591,92,56,48,100,104,108,3752
Bee_newGene_594,6,12,12,6,2,0,2325
Bee_newGene_596,8,4,6,2,2,2,1492
Bee_newGene_599,284,312,362,284,308,436,5838
Bee_newGene_6,0,0,2,0,0,0,6600
Bee_newGene_63,4,6,6,16,86,20,1555
Bee_newGene_68,14,8,6,8,4,4,583
Bee_newGene_75,58,36,68,90,276,614,3456
Bee_newGene_76,48,20,48,74,44,394,2799
Bee_newGene_77,2,6,8,8,2,4,1160
Bee_newGene_78,30,56,64,36,30,44,2004
Bee_newGene_8,244,112,268,348,266,1954,20999
Bee_newGene_81,50,44,44,46,32,42,2863
Bee_newGene_811,4,4,4,6,8,4,1065
Bee_newGene_812,4,4,6,8,2,4,573
Bee_newGene_814,32,34,32,26,24,42,2880
Bee_newGene_815,34,20,14,24,14,6,902
Bee_newGene_816,20,8,8,10,18,2,9521
Bee_newGene_817,6,8,12,8,4,2,1988
Bee_newGene_82,2,2,2,2,2,2,621
Bee_newGene_820,4,2,2,10,2,2,1088
Bee_newGene_825,26,18,26,26,16,18,6100
Bee_newGene_830,34,22,22,24,50,26,2294
Bee_newGene_834,12,10,6,6,2,10,8225
Bee_newGene_836,6,14,6,12,10,10,1816
Bee_newGene_837,14,6,16,6,6,26,2369
Bee_newGene_838,52,38,46,38,46,28,1549
Bee_newGene_839,12,8,12,24,24,26,862
Bee_newGene_84,12,16,16,6,10,10,913
Bee_newGene_840,8,26,14,16,8,16,1068
Bee_newGene_841,56,62,38,40,22,68,14416
Bee_newGene_847,320,404,328,580,648,928,3480
