#ID,2dD,2dQ,2dW,4dD,4dQ,4dW,geneLength
GB45223,12,8,12,14,16,14,1083
GB45224,2,6,6,4,4,6,1191
GB45225,4974,5524,4418,5028,5390,4236,3175
GB45227,162,170,170,192,220,210,2592
GB45228,174,242,250,228,200,198,2408
GB45229,434,374,456,280,222,198,4403
GB45230,440,574,634,510,438,452,1382
GB45232,320,160,294,268,280,368,6634
GB45233,42,28,34,40,40,50,3233
GB45236,2,0,2,2,2,2,237
GB45237,2,2,2,2,2,2,177
GB45238,0,0,0,0,0,0,285
GB45239,2,2,2,4,4,2,1716
GB45240,0,0,0,0,0,0,90
GB45241,0,0,0,2,0,0,171
GB45242,0,0,0,0,0,0,510
GB45243,0,0,0,0,0,0,138
GB45244,0,0,0,0,0,0,306
GB45246,0,0,0,0,0,0,84
GB45247,410,328,372,542,714,744,2546
GB45248,638,528,598,778,1200,1094,5548
GB45249,18,28,26,22,18,20,1226
GB45250,1122,834,1420,1840,3688,3058,2299
GB45251,702,878,752,934,1100,1058,2097
GB45252,234,330,246,300,290,262,1494
GB45253,12,38,26,22,12,24,726
GB45254,1272,1602,1488,1412,1654,1544,3022
GB45255,286,212,316,144,122,96,2151
GB45256,122,204,190,160,176,202,1480
GB45257,898,1052,1100,996,906,1132,1503
GB45258,4358,5500,5448,6284,7426,7968,1989
GB45259,404,324,358,368,344,330,5060
GB45260,1156,1330,1458,1424,1126,2980,11840
GB45261,5898,5474,5938,8798,9676,11284,1845
GB45262,126,122,116,130,160,126,446
GB45263,224,278,262,220,232,174,5127
GB45264,6,14,12,10,16,10,1031
GB45265,964,790,908,616,564,552,3724
GB45266,2730,3548,3274,2552,1826,1902,7566
GB45267,1660,1798,1796,2162,2906,2738,5741
GB45271,94,68,60,32,22,28,3706
GB45272,534,444,504,414,284,354,3169
GB45273,8,8,8,6,6,4,3292
GB45274,368,296,452,286,228,224,2035
GB45275,724,734,844,322,256,228,2829
GB45277,1690,1704,1568,1778,2600,2128,5694
GB45278,10,8,8,8,14,4,5129
GB45279,92,156,130,126,120,118,1349
GB45280,1702,2380,1740,1660,2048,1510,2307
GB45281,6302,5720,5226,5622,6028,4676,12011
GB45282,298,376,322,348,356,330,2013
GB45283,102,114,154,156,114,148,2356
GB45284,3014,4162,3502,4202,4794,5102,5609
GB45285,4278,3926,3472,3834,5138,3812,1077
GB45286,17438,19424,17032,19262,23216,21034,1278
GB45287,5480,3890,4202,4648,3790,4208,8401
GB45288,514,508,488,572,766,700,931
GB45289,0,0,0,0,0,0,111
GB45290,12,8,12,14,8,6,1483
GB45291,0,0,0,0,0,0,192
GB45292,10,6,8,10,10,6,2613
GB45293,192,166,196,260,224,344,5369
GB45294,4,4,2,8,4,2,1377
GB45295,92,130,114,112,130,114,2461
GB45296,300,328,338,380,430,452,2688
GB45297,278,308,282,302,306,318,3023
GB45298,1168,1422,1346,1562,1392,1550,5111
GB45299,424,308,414,310,308,272,3427
GB45301,10,14,12,16,12,16,725
GB45302,0,0,0,0,0,0,882
GB45303,878,834,1316,1894,3396,6050,2043
GB45304,140,184,168,234,200,268,2025
GB45305,216,182,194,334,402,378,2317
GB45306,2,2,4,4,2,4,288
GB45307,196,260,260,334,442,512,1036
GB45308,0,0,0,0,0,0,636
GB45309,0,0,0,0,0,0,384
GB45310,0,0,0,0,0,0,474
GB45311,2,2,0,2,2,2,339
GB45312,192,264,290,236,202,296,923
GB45313,370,444,444,288,406,824,1776
GB45314,108,150,144,130,118,144,2644
GB45315,1790,1556,1904,1276,862,1064,4467
GB45317,8,4,6,8,6,12,705
GB45318,618,648,570,648,844,590,1908
GB45319,0,0,0,0,0,0,168
GB45320,644,548,474,658,1154,1528,3247
GB45321,4,4,4,4,8,6,337
GB45323,0,0,0,0,0,0,126
GB45325,0,0,0,0,0,0,282
GB45327,0,0,0,0,0,0,168
GB45329,6,8,2,4,2,2,1192
GB45332,54,56,62,40,30,48,2153
GB45334,18638,19644,16906,18924,28106,22418,1078
GB45335,176,184,182,256,192,254,3013
GB45337,890,964,1140,912,776,928,3800
GB45338,0,0,0,0,0,0,123
GB45339,0,2,0,2,2,2,273
GB45340,140,202,194,172,204,192,1977
GB45341,324,406,434,376,400,430,2982
GB45343,286,322,274,312,356,298,2824
GB45344,632,702,722,782,982,824,2957
GB45346,26330,30952,27192,28732,34766,30030,10343
GB45349,272,382,370,290,240,286,3339
GB45351,202,260,278,224,228,222,3566
GB45352,102,212,200,150,152,190,2718
GB45353,10,10,6,10,8,10,1203
GB45354,878,1170,1102,1284,1438,1574,1652
GB45355,630,896,806,828,1220,1042,4486
GB45356,462,482,422,406,466,334,1055
GB45357,662,636,640,598,700,604,2320
GB45358,486,678,672,582,498,584,905
GB45359,2,2,0,2,2,0,573
GB45360,1104,1278,1206,1014,1014,768,3801
GB45361,1506,1792,1740,2214,2044,2464,3087
GB45362,82,120,132,96,90,90,1227
GB45363,256,340,322,274,328,264,3875
GB45364,938,576,586,678,364,210,4182
GB45365,914,776,734,850,542,686,3930
GB45366,80,120,120,98,98,96,1732
GB45367,176,280,260,246,236,240,1279
GB45368,3942,4096,4124,3882,3062,3250,3609
GB45369,14646,14238,14312,15422,18992,17932,1461
GB45370,1814,2332,1970,1772,1982,1412,3513
GB45371,262,354,350,300,270,308,3368
GB45373,1482,1360,1252,1298,1340,1140,7020
GB45374,17836,15560,16070,17816,21676,21402,538
GB45375,458,518,482,482,580,492,1194
GB45376,804,992,938,908,878,872,2225
GB45377,2138,2302,2798,2722,1450,2422,3245
GB45378,458,348,348,302,312,218,4736
GB45379,0,0,0,0,0,0,183
GB45380,314,356,352,328,426,420,1198
GB45381,74,86,108,128,148,194,1641
GB45382,98,80,116,110,76,98,2038
GB45383,1982,1188,1572,1720,1696,1812,6656
GB45389,442,510,536,558,476,612,5861
GB45390,480,262,410,344,196,374,3909
GB45391,328,356,386,488,484,570,900
GB45392,132,112,90,106,118,92,5749
GB45393,426,482,474,502,494,562,1490
GB45394,982,1766,1164,1866,3690,3466,3007
GB45395,676,734,800,490,414,422,3584
GB45396,66,92,98,80,70,64,1001
GB45397,376,644,550,444,388,508,2378
GB45398,4,4,2,2,2,2,1015
GB45399,3578,4270,3772,4038,3764,2874,5775
GB45400,818,544,586,1018,1950,850,2177
GB45401,62,56,68,54,112,68,1806
GB45403,2180,1918,1746,2138,2552,2048,8546
GB45408,1018,684,922,818,788,838,8708
GB45410,78,114,56,76,136,56,2135
GB45411,1068,882,590,1242,1208,658,5626
GB45414,1112,838,866,1090,976,946,4840
GB45415,1582,1846,1698,1972,2188,2072,2095
GB45416,190,240,290,160,122,130,2911
GB45417,604,584,572,690,512,496,4629
GB45418,528,664,574,690,1060,934,2669
GB45419,472,688,640,566,618,556,1263
GB45420,136,166,146,132,130,140,1291
GB45421,240,290,262,252,222,226,1462
GB45422,10,16,22,18,12,16,1026
GB45423,54,50,50,48,82,44,1585
GB45424,144,140,146,178,198,190,3153
GB45426,22,32,38,34,38,42,1407
GB45427,350,298,252,322,316,80,1129
GB45429,1488,1514,1570,1296,1136,1076,4131
GB45431,1924,1618,1518,1574,1948,1446,2348
GB45432,6,6,6,6,4,2,1502
GB45434,90,78,86,104,146,138,610
GB45435,564,604,540,514,550,460,1702
GB45436,592,770,666,664,668,664,3660
GB45437,6,6,8,2,6,6,5189
GB45438,18,8,8,6,6,8,2146
GB45439,140,132,138,170,130,158,1650
GB45440,146,150,176,150,144,204,2195
GB45441,326,368,320,322,378,276,1470
GB45442,8,8,14,10,8,12,4097
GB45443,166,252,222,210,270,256,1625
GB45444,120,208,180,144,142,128,2401
GB45446,12,12,12,8,6,8,462
GB45447,4,2,4,4,2,2,294
GB45448,0,0,0,0,2,2,390
GB45449,96,120,96,122,162,172,1622
GB45450,0,2,2,2,2,4,1653
GB45451,52,60,70,60,70,60,1634
GB45452,266,348,334,342,368,456,1900
GB45453,1292,820,944,988,656,606,6185
GB45457,550,576,592,584,604,1342,3254
GB45458,8850,6780,7538,9222,9014,10510,13344
GB45460,0,0,0,0,0,0,213
GB45462,880,608,680,554,564,512,7168
GB45464,20,14,16,20,18,22,2071
GB45466,0,0,0,0,0,0,204
GB45467,0,0,0,0,0,0,108
GB45468,0,0,0,0,0,0,265
GB45469,6,8,8,6,6,8,4443
GB45471,0,0,0,0,0,0,225
GB45472,536,476,504,472,388,470,12938
GB45476,276,382,392,368,518,574,650
GB45477,298,300,340,438,452,640,2402
GB45478,8,10,14,8,10,12,4589
GB45479,362,314,366,286,254,236,2612
GB45480,0,0,0,0,0,0,405
GB45481,0,0,0,0,0,0,189
GB45482,0,0,0,0,0,0,348
GB45483,0,0,0,0,0,0,156
GB45484,2,2,4,2,2,2,630
GB45485,0,0,0,0,0,0,549
GB45486,28,14,16,8,6,12,4245
GB45487,494,468,516,494,428,442,3202
GB45488,24,20,20,24,24,8,2060
GB45490,1574,1674,1832,1388,1042,946,2673
GB45491,188,310,262,246,260,300,1814
GB45492,824,908,802,832,1332,884,8388
GB45494,770,418,618,482,464,470,2287
GB45495,14252,20254,20900,15592,13832,22286,2669
GB45496,206,236,176,198,428,170,531
GB45497,2430,2726,2664,2526,3502,2874,8880
GB45500,38,28,32,16,22,14,2715
GB45501,70,60,60,36,30,30,3061
GB45502,2054,900,1344,1198,710,802,6532
GB45504,342,444,434,524,578,684,1601
GB45505,736,844,768,930,1134,1232,634
GB45507,606,580,644,582,688,572,2254
GB45508,178,136,152,174,270,174,2829
GB45509,160,72,100,62,70,64,3170
GB45510,62,36,46,24,26,28,4299
GB45511,180,88,114,106,92,104,7647
GB45513,2,2,2,4,24,8,1938
GB45514,468,550,586,444,382,412,3149
GB45516,1130,1068,1024,1302,1502,1392,3813
GB45518,1570,648,886,1020,626,730,10234
GB45519,4,4,4,2,2,2,11403
GB45520,2,2,2,2,0,2,768
GB45521,258,250,330,238,274,216,8582
GB45522,1392,2064,1696,1334,1562,1224,1134
GB45524,16,14,16,4,6,6,3164
GB45526,1956,2186,1752,1578,2090,1340,1242
GB45527,454,430,444,422,530,436,4226
GB45529,2,2,2,2,2,2,294
GB45530,830,374,464,298,140,134,10218
GB45531,0,0,0,0,0,0,210
GB45532,10,6,8,4,12,4,1334
GB45533,0,0,0,0,0,0,642
GB45534,1906,2118,2040,2014,2112,1992,4014
GB45535,538,598,532,524,612,536,4332
GB45537,1306,1392,1508,1286,1316,1208,1417
GB45538,56,48,56,56,42,46,1876
GB45539,0,0,0,0,0,0,90
GB45540,1862,1358,1486,1394,1726,884,4490
GB45541,8,6,12,2,2,2,1035
GB45542,4,4,6,2,2,2,984
GB45543,508,516,508,624,768,656,2031
GB45544,616,688,720,646,766,686,1695
GB45545,418,432,442,448,574,522,682
GB45546,128,168,168,148,156,146,2405
GB45547,544,366,410,462,440,464,2060
GB45548,2,2,2,2,2,2,1471
GB45549,874,1270,1176,1082,988,1144,1199
GB45550,2,0,0,2,0,2,357
GB45551,360,224,296,234,110,142,1957
GB45552,12,8,8,8,4,8,153
GB45553,14,10,12,14,10,8,1085
GB45554,156,180,160,168,194,188,1027
GB45555,1274,1224,1148,1086,1120,906,4377
GB45557,648,714,748,502,420,356,2334
GB45558,76,96,94,112,110,88,958
GB45559,2,2,0,2,2,2,567
GB45560,234,284,272,272,272,254,2067
GB45561,46,54,66,58,48,64,1768
GB45562,1038,966,1018,1072,1204,1122,822
GB45563,1808,1142,1754,860,1942,2666,5211
GB45565,2504,2428,2602,4348,3382,6680,1257
GB45566,1320,1388,1490,1480,1128,1678,4392
GB45567,1022,948,970,1022,1432,1112,3170
GB45568,126,144,142,134,106,88,2903
GB45569,5050,5486,4902,4964,5118,4640,1255
GB45570,0,0,0,0,0,0,636
GB45571,0,0,0,0,0,0,78
GB45572,0,8,4,4,2,2,906
GB45573,2,0,0,2,2,2,473
GB45574,0,0,0,0,0,0,126
GB45575,0,0,0,0,0,0,552
GB45576,0,0,0,0,0,0,198
GB45577,0,0,0,0,0,0,843
GB45578,0,0,0,2,2,0,466
GB45579,2,2,2,0,2,2,288
GB45580,0,0,0,0,0,0,270
GB45581,374,468,666,634,406,758,3918
GB45583,1026,1628,1366,1032,1012,942,2431
GB45584,0,0,0,0,0,2,440
GB45585,0,0,0,0,0,0,990
GB45586,0,0,0,0,0,0,123
GB45587,0,0,0,0,0,0,327
GB45588,0,0,0,0,0,0,360
GB45589,0,0,0,0,0,0,111
GB45590,0,0,0,2,2,2,513
GB45591,0,0,0,0,0,0,771
GB45592,0,0,0,0,0,0,255
GB45593,758,614,632,802,642,660,2513
GB45594,0,0,0,0,2,0,459
GB45595,2,2,2,2,2,2,282
GB45596,2722,3720,3378,4574,5788,9782,5022
GB45597,116,142,140,142,162,154,2940
GB45598,0,0,0,0,0,0,393
GB45599,0,0,0,0,0,0,102
GB45600,0,0,0,0,0,0,903
GB45601,0,0,0,0,0,0,933
GB45602,500,552,416,728,1010,630,860
GB45603,4,2,2,2,4,2,300
GB45604,0,0,0,0,0,0,102
GB45605,0,0,0,0,0,0,462
GB45606,0,0,0,0,0,0,825
GB45607,0,0,0,0,0,0,354
GB45608,28,34,40,26,18,22,2921
GB45609,224,374,130,412,2778,990,2333
GB45610,4672,3304,2838,3264,1640,1620,15129
GB45611,0,0,0,0,0,0,93
GB45613,8,6,4,6,6,6,1857
GB45614,4,0,0,0,6,2,399
GB45615,0,0,0,0,2,0,516
GB45616,2,2,2,2,2,2,765
GB45617,702,326,478,438,1196,980,2501
GB45618,458,286,270,322,288,248,2252
GB45619,4,4,6,4,4,2,1242
GB45621,0,0,0,2,0,0,408
GB45622,0,0,0,0,0,0,177
GB45623,1752,1760,1558,1532,1708,1482,5278
GB45624,926,1104,964,830,728,696,1217
